hieulerpi1 ~/zen_desk # cat out/log/radar_service.log
[INFO][/home/okinami/pegasus/platform/ss928v100_gcc/smp/a55_linux/mpp/zen_desk/radar_service/src/main.c:24] Radar Service Starting...
[INFO][/home/okinami/pegasus/platform/ss928v100_gcc/smp/a55_linux/mpp/zen_desk/radar_service/src/main.c:45] UART opened: /dev/ttyAMA4, baud: 115200, fd: 3
[INFO][/home/okinami/pegasus/platform/ss928v100_gcc/smp/a55_linux/mpp/zen_desk/radar_service/src/radar_service.c:338] Initializing radar service...
[INFO][/home/okinami/pegasus/platform/ss928v100_gcc/smp/a55_linux/mpp/zen_desk/radar_service/src/radar_service.c:349] Radar service initialized (uart_fd=3)
[INFO][/home/okinami/pegasus/platform/ss928v100_gcc/smp/a55_linux/mpp/zen_desk/radar_service/src/radar_service.c:355] Starting radar service...
[INFO][/home/okinami/pegasus/platform/ss928v100_gcc/smp/a55_linux/mpp/zen_desk/radar_service/src/radar_service.c:365] Radar service started
[INFO][/home/okinami/pegasus/platform/ss928v100_gcc/smp/a55_linux/mpp/zen_desk/radar_service/src/radar_service.c:158] Radar process thread started
[INFO][/home/okinami/pegasus/platform/ss928v100_gcc/smp/a55_linux/mpp/zen_desk/radar_service/src/radar_service.c:165] Radar configured: max_dist_dm=20, monitor_gate=0
[INFO][/home/okinami/pegasus/platform/ss928v100_gcc/smp/a55_linux/mpp/zen_desk/radar_service/src/radar_service.c:91] TCP connected to fusion 127.0.0.1:8888
[INFO][/home/okinami/pegasus/platform/ss928v100_gcc/smp/a55_linux/mpp/zen_desk/radar_service/src/radar_service.c:322] Radar FSM: UNKNOWN -> AWAY (dist=111 cm)
[INFO][/home/okinami/pegasus/platform/ss928v100_gcc/smp/a55_linux/mpp/zen_desk/radar_service/src/radar_service.c:311] TGT:1 | 预测:[9 1 0] | 多数决:AWAY | 置信度:[20 0 0] | 状态:AWAY
[INFO][/home/okinami/pegasus/platform/ss928v100_gcc/smp/a55_linux/mpp/zen_desk/radar_service/src/radar_service.c:311] TGT:1 | 预测:[0 10 0] | 多数决:NORMAL | 置信度:[22 12 0] | 状态:AWAY
[INFO][/home/okinami/pegasus/platform/ss928v100_gcc/smp/a55_linux/mpp/zen_desk/radar_service/src/radar_service.c:296] <<< STATE CHANGED: AWAY -> NORMAL >>> (Leaky Bucket triggered)
[INFO][/home/okinami/pegasus/platform/ss928v100_gcc/smp/a55_linux/mpp/zen_desk/radar_service/src/radar_service.c:322] Radar FSM: AWAY -> NORMAL (dist=114 cm)
[INFO][/home/okinami/pegasus/platform/ss928v100_gcc/smp/a55_linux/mpp/zen_desk/radar_service/src/radar_service.c:311] TGT:1 | 预测:[0 10 0] | 多数决:NORMAL | 置信度:[0 102 0] | 状态:NORMAL
[INFO][/home/okinami/pegasus/platform/ss928v100_gcc/smp/a55_linux/mpp/zen_desk/radar_service/src/radar_service.c:311] TGT:1 | 预测:[0 9 1] | 多数决:NORMAL | 置信度:[0 122 0] | 状态:NORMAL
[INFO][/home/okinami/pegasus/platform/ss928v100_gcc/smp/a55_linux/mpp/zen_desk/radar_service/src/radar_service.c:311] TGT:1 | 预测:[0 10 0] | 多数决:NORMAL | 置信度:[0 142 0] | 状态:NORMAL
[INFO][/home/okinami/pegasus/platform/ss928v100_gcc/smp/a55_linux/mpp/zen_desk/radar_service/src/radar_service.c:311] TGT:1 | 预测:[0 8 2] | 多数决:NORMAL | 置信度:[0 162 0] | 状态:NORMAL
[INFO][/home/okinami/pegasus/platform/ss928v100_gcc/smp/a55_linux/mpp/zen_desk/radar_service/src/radar_service.c:311] TGT:1 | 预测:[0 10 0] | 多数决:NORMAL | 置信度:[0 182 0] | 状态:NORMAL
[INFO][/home/okinami/pegasus/platform/ss928v100_gcc/smp/a55_linux/mpp/zen_desk/radar_service/src/radar_service.c:311] TGT:1 | 预测:[0 10 0] | 多数决:NORMAL | 置信度:[0 200 0] | 状态:NORMAL
[INFO][/home/okinami/pegasus/platform/ss928v100_gcc/smp/a55_linux/mpp/zen_desk/radar_service/src/radar_service.c:311] TGT:1 | 预测:[0 10 0] | 多数决:NORMAL | 置信度:[0 200 0] | 状态:NORMAL
[INFO][/home/okinami/pegasus/platform/ss928v100_gcc/smp/a55_linux/mpp/zen_desk/radar_service/src/radar_service.c:311] TGT:1 | 预测:[0 10 0] | 多数决:NORMAL | 置信度:[0 200 0] | 状态:NORMAL
[INFO][/home/okinami/pegasus/platform/ss928v100_gcc/smp/a55_linux/mpp/zen_desk/radar_service/src/radar_service.c:311] TGT:1 | 预测:[0 10 0] | 多数决:NORMAL | 置信度:[0 200 0] | 状态:NORMAL
[INFO][/home/okinami/pegasus/platform/ss928v100_gcc/smp/a55_linux/mpp/zen_desk/radar_service/src/radar_service.c:311] TGT:1 | 预测:[0 10 0] | 多数决:NORMAL | 置信度:[0 200 0] | 状态:NORMAL
[INFO][/home/okinami/pegasus/platform/ss928v100_gcc/smp/a55_linux/mpp/zen_desk/radar_service/src/radar_service.c:311] TGT:1 | 预测:[0 10 0] | 多数决:NORMAL | 置信度:[0 200 0] | 状态:NORMAL
[INFO][/home/okinami/pegasus/platform/ss928v100_gcc/smp/a55_linux/mpp/zen_desk/radar_service/src/radar_service.c:311] TGT:1 | 预测:[0 10 0] | 多数决:NORMAL | 置信度:[0 200 0] | 状态:NORMAL
[INFO][/home/okinami/pegasus/platform/ss928v100_gcc/smp/a55_linux/mpp/zen_desk/radar_service/src/radar_service.c:311] TGT:1 | 预测:[0 10 0] | 多数决:NORMAL | 置信度:[0 200 0] | 状态:NORMAL
[INFO][/home/okinami/pegasus/platform/ss928v100_gcc/smp/a55_linux/mpp/zen_desk/radar_service/src/radar_service.c:311] TGT:1 | 预测:[0 10 0] | 多数决:NORMAL | 置信度:[0 200 0] | 状态:NORMAL
[INFO][/home/okinami/pegasus/platform/ss928v100_gcc/smp/a55_linux/mpp/zen_desk/radar_service/src/radar_service.c:311] TGT:1 | 预测:[0 10 0] | 多数决:NORMAL | 置信度:[0 200 0] | 状态:NORMAL
[INFO][/home/okinami/pegasus/platform/ss928v100_gcc/smp/a55_linux/mpp/zen_desk/radar_service/src/radar_service.c:311] TGT:1 | 预测:[0 6 4] | 多数决:NORMAL | 置信度:[0 200 0] | 状态:NORMAL
[INFO][/home/okinami/pegasus/platform/ss928v100_gcc/smp/a55_linux/mpp/zen_desk/radar_service/src/radar_service.c:311] TGT:1 | 预测:[0 8 2] | 多数决:NORMAL | 置信度:[0 200 6] | 状态:NORMAL
[INFO][/home/okinami/pegasus/platform/ss928v100_gcc/smp/a55_linux/mpp/zen_desk/radar_service/src/radar_service.c:311] TGT:1 | 预测:[0 10 0] | 多数决:NORMAL | 置信度:[0 200 0] | 状态:NORMAL
[INFO][/home/okinami/pegasus/platform/ss928v100_gcc/smp/a55_linux/mpp/zen_desk/radar_service/src/radar_service.c:311] TGT:1 | 预测:[0 10 0] | 多数决:NORMAL | 置信度:[0 200 0] | 状态:NORMAL
[INFO][/home/okinami/pegasus/platform/ss928v100_gcc/smp/a55_linux/mpp/zen_desk/radar_service/src/radar_service.c:311] TGT:1 | 预测:[0 10 0] | 多数决:NORMAL | 置信度:[0 200 0] | 状态:NORMAL
[INFO][/home/okinami/pegasus/platform/ss928v100_gcc/smp/a55_linux/mpp/zen_desk/radar_service/src/radar_service.c:311] TGT:1 | 预测:[0 10 0] | 多数决:NORMAL | 置信度:[0 200 0] | 状态:NORMAL
[INFO][/home/okinami/pegasus/platform/ss928v100_gcc/smp/a55_linux/mpp/zen_desk/radar_service/src/radar_service.c:311] TGT:1 | 预测:[0 10 0] | 多数决:NORMAL | 置信度:[0 200 0] | 状态:NORMAL
[INFO][/home/okinami/pegasus/platform/ss928v100_gcc/smp/a55_linux/mpp/zen_desk/radar_service/src/radar_service.c:311] TGT:1 | 预测:[0 10 0] | 多数决:NORMAL | 置信度:[0 200 0] | 状态:NORMAL
[INFO][/home/okinami/pegasus/platform/ss928v100_gcc/smp/a55_linux/mpp/zen_desk/radar_service/src/radar_service.c:311] TGT:1 | 预测:[0 10 0] | 多数决:NORMAL | 置信度:[0 200 0] | 状态:NORMAL
[INFO][/home/okinami/pegasus/platform/ss928v100_gcc/smp/a55_linux/mpp/zen_desk/radar_service/src/radar_service.c:311] TGT:1 | 预测:[0 8 2] | 多数决:NORMAL | 置信度:[0 200 0] | 状态:NORMAL
[INFO][/home/okinami/pegasus/platform/ss928v100_gcc/smp/a55_linux/mpp/zen_desk/radar_service/src/radar_service.c:311] TGT:1 | 预测:[0 10 0] | 多数决:NORMAL | 置信度:[0 200 0] | 状态:NORMAL
[INFO][/home/okinami/pegasus/platform/ss928v100_gcc/smp/a55_linux/mpp/zen_desk/radar_service/src/radar_service.c:311] TGT:1 | 预测:[0 10 0] | 多数决:NORMAL | 置信度:[0 200 0] | 状态:NORMAL
[INFO][/home/okinami/pegasus/platform/ss928v100_gcc/smp/a55_linux/mpp/zen_desk/radar_service/src/radar_service.c:311] TGT:1 | 预测:[0 10 0] | 多数决:NORMAL | 置信度:[0 200 0] | 状态:NORMAL
[INFO][/home/okinami/pegasus/platform/ss928v100_gcc/smp/a55_linux/mpp/zen_desk/radar_service/src/radar_service.c:311] TGT:1 | 预测:[0 10 0] | 多数决:NORMAL | 置信度:[0 200 0] | 状态:NORMAL
[INFO][/home/okinami/pegasus/platform/ss928v100_gcc/smp/a55_linux/mpp/zen_desk/radar_service/src/radar_service.c:311] TGT:1 | 预测:[0 10 0] | 多数决:NORMAL | 置信度:[0 200 0] | 状态:NORMAL
[INFO][/home/okinami/pegasus/platform/ss928v100_gcc/smp/a55_linux/mpp/zen_desk/radar_service/src/radar_service.c:311] TGT:1 | 预测:[0 10 0] | 多数决:NORMAL | 置信度:[0 200 0] | 状态:NORMAL
[INFO][/home/okinami/pegasus/platform/ss928v100_gcc/smp/a55_linux/mpp/zen_desk/radar_service/src/radar_service.c:311] TGT:1 | 预测:[0 10 0] | 多数决:NORMAL | 置信度:[0 200 0] | 状态:NORMAL
[INFO][/home/okinami/pegasus/platform/ss928v100_gcc/smp/a55_linux/mpp/zen_desk/radar_service/src/radar_service.c:311] TGT:1 | 预测:[0 10 0] | 多数决:NORMAL | 置信度:[0 200 0] | 状态:NORMAL
[INFO][/home/okinami/pegasus/platform/ss928v100_gcc/smp/a55_linux/mpp/zen_desk/radar_service/src/radar_service.c:311] TGT:1 | 预测:[0 10 0] | 多数决:NORMAL | 置信度:[0 200 0] | 状态:NORMAL
[INFO][/home/okinami/pegasus/platform/ss928v100_gcc/smp/a55_linux/mpp/zen_desk/radar_service/src/radar_service.c:311] TGT:1 | 预测:[0 10 0] | 多数决:NORMAL | 置信度:[0 200 0] | 状态:NORMAL
[INFO][/home/okinami/pegasus/platform/ss928v100_gcc/smp/a55_linux/mpp/zen_desk/radar_service/src/radar_service.c:311] TGT:1 | 预测:[0 10 0] | 多数决:NORMAL | 置信度:[0 200 0] | 状态:NORMAL
[INFO][/home/okinami/pegasus/platform/ss928v100_gcc/smp/a55_linux/mpp/zen_desk/radar_service/src/radar_service.c:311] TGT:1 | 预测:[0 10 0] | 多数决:NORMAL | 置信度:[0 200 0] | 状态:NORMAL
[INFO][/home/okinami/pegasus/platform/ss928v100_gcc/smp/a55_linux/mpp/zen_desk/radar_service/src/radar_service.c:311] TGT:1 | 预测:[0 10 0] | 多数决:NORMAL | 置信度:[0 200 0] | 状态:NORMAL
[INFO][/home/okinami/pegasus/platform/ss928v100_gcc/smp/a55_linux/mpp/zen_desk/radar_service/src/radar_service.c:311] TGT:1 | 预测:[0 10 0] | 多数决:NORMAL | 置信度:[0 200 0] | 状态:NORMAL
[INFO][/home/okinami/pegasus/platform/ss928v100_gcc/smp/a55_linux/mpp/zen_desk/radar_service/src/radar_service.c:311] TGT:1 | 预测:[0 10 0] | 多数决:NORMAL | 置信度:[0 200 0] | 状态:NORMAL
[INFO][/home/okinami/pegasus/platform/ss928v100_gcc/smp/a55_linux/mpp/zen_desk/radar_service/src/radar_service.c:311] TGT:1 | 预测:[0 10 0] | 多数决:NORMAL | 置信度:[0 200 0] | 状态:NORMAL
[INFO][/home/okinami/pegasus/platform/ss928v100_gcc/smp/a55_linux/mpp/zen_desk/radar_service/src/radar_service.c:311] TGT:1 | 预测:[0 10 0] | 多数决:NORMAL | 置信度:[0 200 0] | 状态:NORMAL
[INFO][/home/okinami/pegasus/platform/ss928v100_gcc/smp/a55_linux/mpp/zen_desk/radar_service/src/radar_service.c:311] TGT:1 | 预测:[0 10 0] | 多数决:NORMAL | 置信度:[0 200 0] | 状态:NORMAL
[INFO][/home/okinami/pegasus/platform/ss928v100_gcc/smp/a55_linux/mpp/zen_desk/radar_service/src/radar_service.c:311] TGT:1 | 预测:[0 6 4] | 多数决:NORMAL | 置信度:[0 200 0] | 状态:NORMAL
[INFO][/home/okinami/pegasus/platform/ss928v100_gcc/smp/a55_linux/mpp/zen_desk/radar_service/src/radar_service.c:311] TGT:1 | 预测:[0 10 0] | 多数决:NORMAL | 置信度:[0 200 0] | 状态:NORMAL
[INFO][/home/okinami/pegasus/platform/ss928v100_gcc/smp/a55_linux/mpp/zen_desk/radar_service/src/radar_service.c:311] TGT:1 | 预测:[0 8 2] | 多数决:NORMAL | 置信度:[0 200 0] | 状态:NORMAL
[INFO][/home/okinami/pegasus/platform/ss928v100_gcc/smp/a55_linux/mpp/zen_desk/radar_service/src/radar_service.c:311] TGT:1 | 预测:[0 10 0] | 多数决:NORMAL | 置信度:[0 200 0] | 状态:NORMAL
[INFO][/home/okinami/pegasus/platform/ss928v100_gcc/smp/a55_linux/mpp/zen_desk/radar_service/src/radar_service.c:311] TGT:1 | 预测:[0 10 0] | 多数决:NORMAL | 置信度:[0 200 0] | 状态:NORMAL
[INFO][/home/okinami/pegasus/platform/ss928v100_gcc/smp/a55_linux/mpp/zen_desk/radar_service/src/radar_service.c:311] TGT:1 | 预测:[0 5 5] | 多数决:NORMAL | 置信度:[0 200 0] | 状态:NORMAL
[INFO][/home/okinami/pegasus/platform/ss928v100_gcc/smp/a55_linux/mpp/zen_desk/radar_service/src/radar_service.c:311] TGT:1 | 预测:[0 10 0] | 多数决:NORMAL | 置信度:[0 200 0] | 状态:NORMAL
[INFO][/home/okinami/pegasus/platform/ss928v100_gcc/smp/a55_linux/mpp/zen_desk/radar_service/src/radar_service.c:311] TGT:1 | 预测:[0 10 0] | 多数决:NORMAL | 置信度:[0 200 0] | 状态:NORMAL
[INFO][/home/okinami/pegasus/platform/ss928v100_gcc/smp/a55_linux/mpp/zen_desk/radar_service/src/radar_service.c:311] TGT:1 | 预测:[0 10 0] | 多数决:NORMAL | 置信度:[0 200 0] | 状态:NORMAL
[INFO][/home/okinami/pegasus/platform/ss928v100_gcc/smp/a55_linux/mpp/zen_desk/radar_service/src/radar_service.c:311] TGT:1 | 预测:[0 10 0] | 多数决:NORMAL | 置信度:[0 200 0] | 状态:NORMAL
[INFO][/home/okinami/pegasus/platform/ss928v100_gcc/smp/a55_linux/mpp/zen_desk/radar_service/src/radar_service.c:311] TGT:1 | 预测:[0 10 0] | 多数决:NORMAL | 置信度:[0 200 0] | 状态:NORMAL
[INFO][/home/okinami/pegasus/platform/ss928v100_gcc/smp/a55_linux/mpp/zen_desk/radar_service/src/radar_service.c:311] TGT:1 | 预测:[0 10 0] | 多数决:NORMAL | 置信度:[0 200 0] | 状态:NORMAL
[INFO][/home/okinami/pegasus/platform/ss928v100_gcc/smp/a55_linux/mpp/zen_desk/radar_service/src/radar_service.c:311] TGT:1 | 预测:[0 10 0] | 多数决:NORMAL | 置信度:[0 200 0] | 状态:NORMAL
[INFO][/home/okinami/pegasus/platform/ss928v100_gcc/smp/a55_linux/mpp/zen_desk/radar_service/src/radar_service.c:311] TGT:1 | 预测:[0 3 7] | 多数决:FIDGET | 置信度:[0 198 4] | 状态:NORMAL
[INFO][/home/okinami/pegasus/platform/ss928v100_gcc/smp/a55_linux/mpp/zen_desk/radar_service/src/radar_service.c:311] TGT:1 | 预测:[0 0 10] | 多数决:FIDGET | 置信度:[0 188 24] | 状态:NORMAL
[INFO][/home/okinami/pegasus/platform/ss928v100_gcc/smp/a55_linux/mpp/zen_desk/radar_service/src/radar_service.c:311] TGT:1 | 预测:[0 10 0] | 多数决:NORMAL | 置信度:[0 196 26] | 状态:NORMAL
[INFO][/home/okinami/pegasus/platform/ss928v100_gcc/smp/a55_linux/mpp/zen_desk/radar_service/src/radar_service.c:311] TGT:1 | 预测:[0 10 0] | 多数决:NORMAL | 置信度:[0 200 16] | 状态:NORMAL
[INFO][/home/okinami/pegasus/platform/ss928v100_gcc/smp/a55_linux/mpp/zen_desk/radar_service/src/radar_service.c:311] TGT:1 | 预测:[0 9 1] | 多数决:NORMAL | 置信度:[0 200 6] | 状态:NORMAL
[INFO][/home/okinami/pegasus/platform/ss928v100_gcc/smp/a55_linux/mpp/zen_desk/radar_service/src/radar_service.c:311] TGT:1 | 预测:[0 6 4] | 多数决:NORMAL | 置信度:[0 200 0] | 状态:NORMAL
[INFO][/home/okinami/pegasus/platform/ss928v100_gcc/smp/a55_linux/mpp/zen_desk/radar_service/src/radar_service.c:311] TGT:1 | 预测:[0 9 1] | 多数决:NORMAL | 置信度:[0 200 0] | 状态:NORMAL
